PolyhedralSk(50;2),50,2,100,4,2,5,b,f,1,[1],[],[],RM(100;3),,
PolyhedralSk(50;3),50,3,100,4,2,7,b,f,1,[],[],[1],,,CM(100;1)+CM(100;2)
PolyhedralSk(50;4),50,4,150,6,2,4,nb,f,2,[],[42],[],,RM(150;33),
PolyhedralSk(50;5),50,5,250,10,2,4,b,f,2,[],[77],[],,RM(250;23),
PolyhedralSk(50;6),50,6,300,12,2,3,b,f,2,[],[],[51],,,CM(300;3)+CM(300;4)
PolyhedralSk(50;7),50,7,500,20,2,3,b,f,148601674137600000000,[],[],[101],,,CM(500;7)+CM(500;8)
PolyhedralSk(51;1),51,1,867,34,2,2,nb,f,77853422103567060831125070938112000000000,[120],[],[],RM(867;5),,
PolyhedralSk(52;1),52,1,104,4,2,6,b,f,1,[],[],[1],,,CM(104;1)+CM(104;2)
PolyhedralSk(52;2),52,2,156,6,2,4,nb,f,1,[],[],[1],,,CM(156;1)+CM(156;2)
PolyhedralSk(53;1),53,1,106,4,2,6,nb,f,1,[],[],[1],,,CM(106;1)+CM(106;2)
PolyhedralSk(54;1),54,1,81,3,2,6,b,f,1,[1],[],[],RM(81;4),,
PolyhedralSk(54;2),54,2,108,4,2,5,b,f,1,[10],[],[],RM(108;8),,
PolyhedralSk(54;3),54,3,108,4,2,5,b,f,3,[10],[],[],RM(108;9),,
PolyhedralSk(54;4),54,4,162,6,2,4,b,f,864,[28],[],[],RM(162;8),,
PolyhedralSk(54;5),54,5,216,8,2,3,nb,f,1,[],[],[10;46],,,CM(216;1)+CM(216;2)+CM(216;11)+CM(216;12)
PolyhedralSk(54;6),54,6,216,8,2,4,b,f,1,[],[],[28],,,CM(216;5)+CM(216;6)
PolyhedralSk(54;7),54,7,216,8,2,4,b,f,6,[],[],[55],,,CM(216;17)+CM(216;18)
PolyhedralSk(54;8),54,8,324,12,2,3,nb,f,33554432,[28],[],[],RM(324;6),,
PolyhedralSk(54;9),54,9,324,12,2,3,nb,f,1,[28],[],[],RM(324;7),,
PolyhedralSk(54;10),54,10,972,36,2,2,nb,f,404993501782755850443512619020058624000000000,[136],[],[136],RM(972;19),,CM(972;5)+CM(972;6)
PolyhedralSk(55;1),55,1,165,6,2,3,nb,f,1,[],[46;57],[],,RM(165;20)+RM(165;22),
PolyhedralSk(55;2),55,2,330,12,2,3,nb,f,1,[],[57],[],,RM(330;59),
PolyhedralSk(55;3),55,3,330,12,2,2,nb,f,1,[],[57;112],[],,RM(330;60)+RM(330;75),
PolyhedralSk(55;4),55,4,330,12,2,3,nb,f,1,[],[112],[],,RM(330;76),
PolyhedralSk(56;1),56,1,84,3,2,6,nb,f,1,[3],[9],[],RM(84;4),RM(84;47),
PolyhedralSk(56;2),56,2,84,3,2,7,b,f,2,[],[9],[],,RM(84;48),
PolyhedralSk(56;3),56,3,84,3,2,7,b,f,1,[],[],[1],,,CM(84;3)+CM(84;4)
PolyhedralSk(56;4),56,4,168,6,2,5,nb,f,1,[15],[],[],RM(168;7),,
PolyhedralSk(56;5),56,5,168,6,2,3,nb,f,1,[29],[],[],RM(168;17),,
PolyhedralSk(56;6),56,6,168,6,2,3,nb,f,1,[],[30],[],,RM(168;132),
PolyhedralSk(56;7),56,7,168,6,2,4,b,f,1,[],[30],[],,RM(168;133),
PolyhedralSk(56;8),56,8,168,6,2,4,nb,f,1,[],[58],[],,RM(168;144),
PolyhedralSk(56;9),56,9,168,6,2,4,b,f,1,[],[58],[],,RM(168;145),
PolyhedralSk(56;10),56,10,252,9,2,4,nb,f,1,[15],[],[],RM(252;5),,
PolyhedralSk(57;1),57,1,171,6,2,5,nb,f,1,[],[],[1],,,CM(171;1)+CM(171;2)
